feature,disease
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect","Spondyloepimetaphyseal dysplasia, leptodactylic type"
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect","Spondyloepimetaphyseal dysplasia, short limb- hand,abnormal calcification type"
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Spondyloepiphyseal dysplasias
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Stickler syndrome
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Thiemann disease
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect","Trichorhi nophalangeal syndrome, type I"
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Trichorhinophalangeal dysplasia
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Winchester syndrome
"Epiphysis: Dense, Sclerotic, Ivory, Irregular, Fragmented, Cloud-effect",Wolcott-Rallison syndrome
Epiphysis: Large (Megaepiphysis),Adrenal hyperplasia  (congenital)
Epiphysis: Large (Megaepiphysis),Beckwith-Wiedemann syndrome
Epiphysis: Large (Megaepiphysis),"Chondrodysplasia punctata, Sheffield type (hands and feet)"
Epiphysis: Large (Megaepiphysis),Chronic arthritis
Epiphysis: Large (Megaepiphysis),Fracture (healing)
Epiphysis: Large (Megaepiphysis),Hemophilia (hemarthrosis)
Epiphysis: Large (Megaepiphysis),Hyperthyroidism
Epiphysis: Large (Megaepiphysis),Hypertrichotic-osteochondrodysplasia
Epiphysis: Large (Megaepiphysis),Infantile multisystem inflammatory disease
Epiphysis: Large (Megaepiphysis),Juvenile rheumatoid arthritis
Epiphysis: Large (Megaepiphysis),Kniest dysplasia (hands)
Epiphysis: Large (Megaepiphysis),Megaepiphyseal dysplasia
Epiphysis: Large (Megaepiphysis),"Megaepiphyseal dysplasia, osteoporois, wrinkled skin, and aged appearance"
Epiphysis: Large (Megaepiphysis),"Mesomelic dysplasia, Langer type"
Epiphysis: Large (Megaepiphysis),"Metaphyseal chondrodysplasia, Jansen type"
Epiphysis: Large (Megaepiphysis),"Metaphyseal chondrodysplasia, Schmid type"
Epiphysis: Large (Megaepiphysis),Microcephalic osteodysplastic dysplasia
Epiphysis: Large (Megaepiphysis),Microspherophakia-metaphyseal dysplasia
Epiphysis: Large (Megaepiphysis),"MR, megaepiphyses, hypoplastic fibula, brachymesophalangia"
Epiphysis: Large (Megaepiphysis),Opsismodysplasia
Epiphysis: Large (Megaepiphysis),Otospondylomegaepiphyseal dysplasia
Epiphysis: Large (Megaepiphysis),Precocious puberty (idiopathic)
Epiphysis: Large (Megaepiphysis),Progressive pseudorheumatoid chondrodysplasia
Epiphysis: Large (Megaepiphysis),Sotos syndrome
Epiphysis: Large (Megaepiphysis),Spondyloepiphyseal dysplasia with macroepiphyses
Epiphysis: Large (Megaepiphysis),"Spondylomegaepiphyseal dysplasia, upper limb mesomelia, punctate calcifications, deafness"
Epiphysis: Large (Megaepiphysis),Spondylomegaepiphyseal-metaphyseal dysplasia
Epiphysis: Large (Megaepiphysis),Weissenbacher-Zweymuller phenotype
Epiphysis Necrosis ,Behcet syndrome
Epiphysis Necrosis ,Charcot joint 
Epiphysis Necrosis ,Child abuse 
Epiphysis Necrosis ,Collagen diseases
Epiphysis Necrosis ,Congenital hip dysplasia
Epiphysis Necrosis ,Cushing disease 
Epiphysis Necrosis ,Diabetes mellitus 
Epiphysis Necrosis ,Diastrophic dysplasia
Epiphysis Necrosis ,Drug therapy                                     . . 
Epiphysis Necrosis ,Estrogen deficiency (male)
Epiphysis Necrosis ,Fabry disease
Epiphysis Necrosis ,Gaucher disease
Epiphysis Necrosis ,Gout
Epiphysis Necrosis ,Hemophilia 
Epiphysis Necrosis ,Histiocytosis X 
Epiphysis Necrosis ,Hyperlipoproteinemia 
Epiphysis Necrosis ,Hypothyroidism
Epiphysis Necrosis ,Inflammatory bowel disease
Epiphysis Necrosis ,Irritable hip syndrome 
Epiphysis Necrosis ,Kashin-Beck disease 
Epiphysis Necrosis ,Kyphomelic dysplasia 
Epiphysis Necrosis ,Lipodystrophy
Epiphysis Necrosis ,Metachondromatosis
Epiphysis Necrosis ,Metaphyseal chondrodysplasia
Epiphysis Necrosis ,Meyer dysplasia of femoral head 
Epiphysis Necrosis ,Multiple epiphyseal dysplasias 
Epiphysis Necrosis ,Osteochondroses
Epiphysis Necrosis ,Osteomyelitis
Epiphysis Necrosis ,Osteopetrosis 
Epiphysis Necrosis ,Osteoporosis 
Epiphysis Necrosis ,Polycythemia vera 
Epiphysis Necrosis ,Radiation injury
Epiphysis Necrosis ,Renal osteodystrophy
Epiphysis Necrosis ,Septic joint
Epiphysis Necrosis ,Sickle cell anemia
Epiphysis Necrosis ,Slipped epiphysis
Epiphysis Necrosis ,Sponastrime dysplasia
Epiphysis Necrosis ,Spondyloepiphyseal dysplasias
Epiphysis Necrosis ,Steroid therapy
Epiphysis Necrosis ,Trauma
Epiphysis Necrosis ,"Trichorhinophalangeal dysplasia, type I"
Epiphysis Necrosis ,Vasculopathies
Epiphysis Necrosis ,Winchester syndrome
Epiphysis:  Premature Fusion,Acromesomelic dysplasia
Epiphysis:  Premature Fusion,Clinodactyly
Epiphysis:  Premature Fusion,Hyperthyroidism
Epiphysis:  Premature Fusion,Infarction
Epiphysis:  Premature Fusion,Infection
Epiphysis:  Premature Fusion,Madelung  deformity
Epiphysis:  Premature Fusion,Melorheostosis
Epiphysis:  Premature Fusion,Postmeningococcal septicemia
Epiphysis:  Premature Fusion,Precocious puberty
Epiphysis:  Premature Fusion,Pseudohypoparathyroidism
Epiphysis:  Premature Fusion,Thalassemia
Epiphysis:  Premature Fusion,Trauma
Epiphysis:  Premature Fusion,"Trichorhinophalangeal syndrome, type 1"
Epiphysis:  Premature Fusion,Turner syndrome
Ring Shaped Epiphysis,Hyperparathyroidism (healing)
Ring Shaped Epiphysis,Hypothyroidism (heaing)
Ring Shaped Epiphysis,Osteogenesis imprefecta
Ring Shaped Epiphysis,Osteoporosis 
Ring Shaped Epiphysis,Rickets (heaing)
Ring Shaped Epiphysis,Scurvy
Small Epiphysis,Avascular necrosis
Small Epiphysis,Cushing syndrome
Small Epiphysis,Deprivation dwarfism
Small Epiphysis,Diabetes mellitus
Small Epiphysis,"Disuse of a limb (neuromuscular disorders, etc)"
Small Epiphysis,Eiken dysplasia
Small Epiphysis,Hip dislocation (femoral head)
Small Epiphysis,Hypopituitarism
Small Epiphysis,Hypothyroidism
Small Epiphysis,Malnutrition
Small Epiphysis,Mucolipidoses
Small Epiphysis,Mucopolysaccharidoses
Small Epiphysis,Multiple epiphyseal dysplasia
Small Epiphysis,Rheumatoid arthritis
Small Epiphysis,Rickets
Small Epiphysis,Skeletal dysplasias (several)
Small Epiphysis,Spondyloepimetaphyseal dysplasia
Small Epiphysis,Trauma
Erlenmeyer Flask Deformity,Craniometaphyseal dysplasia
Erlenmeyer Flask Deformity,Craniometaphyseal dysplasia-like  (without skull involvement)
Erlenmeyer Flask Deformity,Dysosteosclerosis
Erlenmeyer Flask Deformity,Frontometaphyseal dysplasia
Erlenmeyer Flask Deformity,Gaucher disease
Erlenmeyer Flask Deformity,Hypertrichotic-osteochondrodysplasia
Erlenmeyer Flask Deformity,Hypophosphatasia (adult)
Erlenmeyer Flask Deformity,"Lead poisoning, sequela"
Erlenmeyer Flask Deformity,Membranous lipodystrophy
Erlenmeyer Flask Deformity,Multicentric fibromatosis with metaphyseal dysplasia
Erlenmeyer Flask Deformity,Niemann-Pick disease
Erlenmeyer Flask Deformity,"Osteodysplasty, Melnick Needles"
Erlenmeyer Flask Deformity,Osteopetrosis
Erlenmeyer Flask Deformity,"Otopalatodigital syndrome, type I "
Erlenmeyer Flask Deformity,Schwarz-Lelek syndrome
Erlenmeyer Flask Deformity,Thalassemia
Erlenmeyer Flask Deformity,Pyle dysplasia
Femoral  Head: Early Ossification,Asphyxiating thoracic dysplasia
Femoral  Head: Early Ossification,Chondroectodermal dysplasia
Femoral  Head: Early Ossification,"Short rib-polydactyly syndrome, type II"
Femoral Head: Flat and/or Fragmented , Spondyloepiphyseal dysplasia
Femoral Head: Flat and/or Fragmented ,Acrodysplasia with retinitis pigmentosa and nephropathy               
Femoral Head: Flat and/or Fragmented ,Acromicric dysplasia
Femoral Head: Flat and/or Fragmented ,Adrenal hyperplasia (congenital)
Femoral Head: Flat and/or Fragmented ,Angel-shaped phalangoepiphyseal dysplasia
Femoral Head: Flat and/or Fragmented ,Arthritis
Femoral Head: Flat and/or Fragmented ,Autosomal-dominant premature degenerative osteoarthropathy of the hip joint
Femoral Head: Flat and/or Fragmented ,Avascular necrosis (various etiologies)
Femoral Head: Flat and/or Fragmented ,Behcet
Femoral Head: Flat and/or Fragmented ,Chondroectodermal dysplasia
Femoral Head: Flat and/or Fragmented ,Congenital hip dysplasia/dislocation
Femoral Head: Flat and/or Fragmented ,Cushing disease
Femoral Head: Flat and/or Fragmented ,Diabetes mellitus
Femoral Head: Flat and/or Fragmented ,Diastrophic dysplasia
Femoral Head: Flat and/or Fragmented ,Dyggve-Melchior-Clausen dysplasia
Femoral Head: Flat and/or Fragmented ,Dysplasia epiphysealis hemimelica
Femoral Head: Flat and/or Fragmented ,"Epiphyseal dysplasia of the femoral head, severe myopia, and perceptive hearing loss; male siblings"
Femoral Head: Flat and/or Fragmented ,Frontometaphyseal dysplasia
Femoral Head: Flat and/or Fragmented ,Gaucher disease
Femoral Head: Flat and/or Fragmented ,Geleophysic dysplasia
Femoral Head: Flat and/or Fragmented ,Hemophilia
Femoral Head: Flat and/or Fragmented ,Histiocytosis X
Femoral Head: Flat and/or Fragmented ,Hyperparathyroidism (secondary)
Femoral Head: Flat and/or Fragmented ,Hypothyroidism
Femoral Head: Flat and/or Fragmented ,Inflammatory bowel disease  (osteonecrosis of the femoral head)
Femoral Head: Flat and/or Fragmented ,Legg-Calve-Perthes disease
Femoral Head: Flat and/or Fragmented ,Leukemia
Femoral Head: Flat and/or Fragmented ,Lowry-Wood syndrome
Femoral Head: Flat and/or Fragmented ,McKusick  type
Femoral Head: Flat and/or Fragmented ,"Metaphyseal chondrodysplasia, McKusick  type"
Femoral Head: Flat and/or Fragmented ,"Metaphyseal chondrodysplasia, Shwachman type"
Femoral Head: Flat and/or Fragmented ,Meyer dysplasia of femoral head
Femoral Head: Flat and/or Fragmented ,Mucopolysaccharidoses
Femoral Head: Flat and/or Fragmented ,Multiple endocrine neoplasia syndrome lIB
Femoral Head: Flat and/or Fragmented ,Multiple epiphyseal dysplasia 
Femoral Head: Flat and/or Fragmented ,Osteochondritis dissecans
Femoral Head: Flat and/or Fragmented ,Osteopathia striata with  cranial sclerosis
Femoral Head: Flat and/or Fragmented ,Otospondylomegaepiphyseal dysplasia
Femoral Head: Flat and/or Fragmented ,Patterson-Lowry rhizomelic dysplasia
Femoral Head: Flat and/or Fragmented ,Rickets
Femoral Head: Flat and/or Fragmented ,Sarcoidosis
Femoral Head: Flat and/or Fragmented ,Schwartz-Jampel syndrome
Femoral Head: Flat and/or Fragmented ,Septic arthritis
Femoral Head: Flat and/or Fragmented ,Sickle cell anemia
Femoral Head: Flat and/or Fragmented ,Slipped capital femoral epiphysis (late phase)
Femoral Head: Flat and/or Fragmented ,"Spondylometaphyseal dysplasia, Kozlowski  type      "
Femoral Head: Flat and/or Fragmented ,Thalassemia
Femoral Head: Flat and/or Fragmented ,"Trichorhinophalangeal syndrome, type I"
Femoral Head: Flat and/or Fragmented ,"Trichorhinophalangeal syndrome, type II"
Femoral Head: Flat and/or Fragmented ,Winchester syndrome
Slipped Femoral Head,Chemotherapeutic agents
Slipped Femoral Head,Chorionic gonadotropin therapy
Slipped Femoral Head,"Coxa vara, congenital"
Slipped Femoral Head,Cushing syndrome
Slipped Femoral Head,Down syndrome
Slipped Femoral Head,Frohlich syndrome (adiposogenital syndrome)
Slipped Femoral Head,Gaucher disease
Slipped Femoral Head,Gigantism (hyperpituitarism)
Slipped Femoral Head,Growth  hormone therapy
Slipped Femoral Head,Growth hormone deficiency 
Slipped Femoral Head,Hemophilia
Slipped Femoral Head,Hemosiderosis-panhypopituitarism
Slipped Femoral Head,Hyperparathyroidism
Slipped Femoral Head,Hypoestrogenic states
Slipped Femoral Head,Hypothyroidism
Slipped Femoral Head,Idiopathic slipped capital femoral epiphysis
Slipped Femoral Head,Kallmann syndrome
Slipped Femoral Head,Klinefelter syndrome
Slipped Femoral Head,"Metaphyseal chondrodysplasia, Shwachman type"
Slipped Femoral Head,Microcephalic osteodysplastic primordial dwarfism (type  II)
Slipped Femoral Head,Multiple epiphyseal dysplasia
Slipped Femoral Head,Obesity
Slipped Femoral Head,Panhypopituitarism
Slipped Femoral Head,Peroneal spastic flatfoot associated with slipped femoral head
Slipped Femoral Head,Pituitary tumors
Slipped Femoral Head,Pseudohypoparathyroidism
Slipped Femoral Head,Radiation therapy
Slipped Femoral Head,Renal osteodystrophy
Slipped Femoral Head,Rickets
Slipped Femoral Head,Satoyoshi syndrome
Slipped Femoral Head,Scurvy
Slipped Femoral Head,Steroid therapy
Slipped Femoral Head,Syphilis
Slipped Femoral Head,Trauma
Slipped Femoral Head,Turner syndrome
Slipped Femoral Head,Wolcott-Rallison syndrome
Slipped Femoral Head,Zellweger  syndrome
Bowed Femur,Thanatophoric dysplasia
Bowed Femur,Achondroplasia
Bowed Femur,Antley-Bixler syndrome   
Bowed Femur,Campomelic dysplasia
Bowed Femur,Chondroectodermal dysplasia
Bowed Femur,de Ia Chapelle dysplasia
Bowed Femur,Familial congenital bowing
Bowed Femur,FGFR-opathies (SADDAN dysplasia)
Bowed Femur,Fibrous dysplasia
Bowed Femur,Fuhrmann syndrome
Bowed Femur,Kyphomelic dysplasia
Bowed Femur,"Lethal skeletal  dysplasia, platyspondyly, long bone angulation, poor skull/upper spine ossification"
Bowed Femur,Mesomelic dysplasias
Bowed Femur,"Metaphyseal chondrodysplasia, Schmid type"
Bowed Femur,"Osteogenesis imperfecta, all types"
Bowed Femur,Pacman dysplasia
Bowed Femur,Physiologic bowing
Bowed Femur,Proximal femoral focal deficiency
Bowed Femur,Round distal femoral epiphyseal micromelic dysplasia-Maroteaux
Bowed Femur,"Short-stature/short-limb skeletal  dysplasia, with severe combined immunodeficiency, and bowing of the femur"
Bowed Femur,Thanatophoric variants
"Femur: Proximal Deficiency, Hypoplasia "," Tibial/femoral hypoplasia with ""hook"" pelvis"
"Femur: Proximal Deficiency, Hypoplasia ","Cleft lip/palate, absent external meatus, short femur and humerus, tapering proximal femur, soft tissue syndactyly, etc."
"Femur: Proximal Deficiency, Hypoplasia ",Diabetic fetopathy
"Femur: Proximal Deficiency, Hypoplasia ",Femoral hypoplasia-unusual facies syndrome
"Femur: Proximal Deficiency, Hypoplasia ",Femur-fibula-ulna syndrome
"Femur: Proximal Deficiency, Hypoplasia ","Fibular dimelia, tibial deficiency, and proximal focal femoral deficiency"
"Femur: Proximal Deficiency, Hypoplasia ","Gollop-Wolfgang complex (femur bifurcation, tibial agenesis) "
"Femur: Proximal Deficiency, Hypoplasia ",Limb/pelvis-hypoplasia/aplasia syndrome
"Femur: Proximal Deficiency, Hypoplasia ",Proximal femoral focal deficiency
"Femur: Proximal Deficiency, Hypoplasia ",Splenogonadal fusion/limb deformity
"Femur: Proximal Deficiency, Hypoplasia ","Tibial aplasia, preaxial polysyndactyly, vertebral anomalies, imperforate  anus"
"Femur: Proximal Deficiency, Hypoplasia ",VATER association
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Absent fibula-craniosynostosis
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Acro-fronto-facio-nasal dysostosis syndrome
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","Acrodysplasia, ossification defects hands/feet, microcrania, fibular hypoplasia"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Acromesomelic dysplasia-genital anomalies
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","Atelosteogenesis (1, 3)"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","Autosomal-recessive short-limb dwarfism, absent fibulae, and brachydactyly"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Bilateral congenital transverse deficiency of tibia/fibula
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","Brachydactyly, ectrodactyly, and absence or hypoplasia of the fibula"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Campomelic dysplasia
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Chondroectodermal dysplasia
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Chromosomal abnormalities
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Cleidocranial dysplasia  
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",de Ia Chapelle syndrome
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Discordant fibular aplasia
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Du Pan syndrome
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Eiken dysplasia
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Exostosis (multiple cartilaginous)
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Facioauriculoradial dysplasia
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","Femur-fibula-ulna  syndrome: femur aplasia/hypoplasia-absent fibula-upper limb anom_ alies (amelia, peromelia, ulnar defect, etc.)"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Fibrochondrogenesis
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Fibular aplasia-ectrodactyly
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","Fibular aplasia, iliac horn, absent kidney (Haga)"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","Fibular aplasia, tibial campomelia, oligosyndactyly"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","Fibular deficiency, dysmorphism, brachydactyly, MR, clinodactyly 2/5"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Fibular hemimelia
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Fibuloulnar aplasia/hypoplasia and renal dysplasia
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Fuhrmann syndrome
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Grebe chondrodysplasia
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Hermann  syndrome
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Kanaputra mesomelic dysplasia
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Limb deficiency-heart malformation syndrome
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Mesomelic dysplasia-absent fibulae-triangular tibiae
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","Mesomelic dysplasia, absence of fibula, and hexadactyly"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Mesomelic dysplasias
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Mietens-Weber syndrome
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","MR, megaepiphyses, hypoplastic fibula, brachymesophalangia"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Ophthalmomandibulomelic dysplasia
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Oro-facio-digital syndrome plus
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Osebold-Remondini dysplasia
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Osteofibrous dysplasia-fibular pseudoarthrosis
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Osteopathia striata with cranial sclerosis
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Otoonychoperoneal syndrome
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","Otopalatodigital syndrome, type II"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Roberts syndrome
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","Short rib-polydactyly syndrome, type I"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia","Short stature, unilateral absence fibula, oligodactyly, trigonocephaly"
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Ulnar-fibula deficiency
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Ulnar/fibular ray defect-brachydactyly
"Fibula: Aplasia, Hypoplasia, Short, Hemmimelia",Weyers oligodactyly syndrome
Genu  Valgum [Knock-Knees],Arthritis
Genu  Valgum [Knock-Knees],Bardet-Biedl syndrome
Genu  Valgum [Knock-Knees],Chondrodysplasia punctata
Genu  Valgum [Knock-Knees],Chondroectodermal dysplasia
Genu  Valgum [Knock-Knees],Cohen syndrome 
Genu  Valgum [Knock-Knees],"Diaphyseal dysplasia, Engelmann type"
Genu  Valgum [Knock-Knees],Dyschondrosteosis
Genu  Valgum [Knock-Knees],Exostosis (multiple cartilaginous)
Genu  Valgum [Knock-Knees],Flatfeet
Genu  Valgum [Knock-Knees],Frontometaphyseal dysplasia
Genu  Valgum [Knock-Knees],Hajdu-Cheney syndrome
Genu  Valgum [Knock-Knees],Hereditary pubertal genu valgum
Genu  Valgum [Knock-Knees],Hypophosphatasia
Genu  Valgum [Knock-Knees],"Mesomelic dysplasia, Langer type"
Genu  Valgum [Knock-Knees],"Mesomelic dysplasia, Nievergelt type"
Genu  Valgum [Knock-Knees],Mesomelic dysplasias
Genu  Valgum [Knock-Knees],Metaphyseal chondrodysplasias
Genu  Valgum [Knock-Knees],Mucopolysaccharidoses
Genu  Valgum [Knock-Knees],Multiple epiphyseal dysplasia
Genu  Valgum [Knock-Knees],Nail-patella syndrome 
Genu  Valgum [Knock-Knees],"Osteodysplasty, precocious"
Genu  Valgum [Knock-Knees],Parastremmatic dysplasia
Genu  Valgum [Knock-Knees],Postinflammatory deformity
Genu  Valgum [Knock-Knees],Posttraumatic deformity
Genu  Valgum [Knock-Knees],Radiotherapy
Genu  Valgum [Knock-Knees],Rickets
Genu  Valgum [Knock-Knees],Spondyloenchondrodysplasia
Genu  Valgum [Knock-Knees],"Spondyloepimetaphyseal dysplasia, Iraqi type"
Genu  Valgum [Knock-Knees],Spondylometaphyseal dysplasias
Genu  Valgum [Knock-Knees],Neuromuscular disorders 
Genu  Valgum [Knock-Knees],"Osteodysplasty, Melnick-Needles"
Genu  Valgum [Knock-Knees],Physiologic
Genu  Valgum [Knock-Knees],Proteus syndrome
Genu  Valgum [Knock-Knees],Pseudoachondroplasia 
Genu  Valgum [Knock-Knees],Pyle dysplasia
Genu Varum [Bowlegs],Achondroplasia
Genu Varum [Bowlegs],Acrodysostosis
Genu Varum [Bowlegs],Blount disease (familial; nonfamilial) 
Genu Varum [Bowlegs],Campomelic dysplasia
Genu Varum [Bowlegs],Chondroectodermal dysplasia
Genu Varum [Bowlegs],Dysplasia epiphysealis hemimelica
Genu Varum [Bowlegs],Femoral anteversion
Genu Varum [Bowlegs],Fluorosis
Genu Varum [Bowlegs],Hyperparathyroidism
Genu Varum [Bowlegs],Hyperphosphatasia 
Genu Varum [Bowlegs],Hypochondroplasia
Genu Varum [Bowlegs],"Metaphyseal chondrodysplasia, anadysplasia type"
Genu Varum [Bowlegs],"Metaphyseal chondrodysplasia, McKusick type                                "
Genu Varum [Bowlegs],Metaphyseal chondrodysplasias                                   
Genu Varum [Bowlegs],Multiple epiphyseal dysplasia      
Genu Varum [Bowlegs],Osteogenesis imperfecta    
Genu Varum [Bowlegs],Physiologic                                                                  
Genu Varum [Bowlegs],Postinflammatory deformity
Genu Varum [Bowlegs],Posttraumatic deformity
Genu Varum [Bowlegs],Prenatal bowing anadysplasia type
Genu Varum [Bowlegs],Pseudoachondroplasia
Genu Varum [Bowlegs],Radiotherapy
Genu Varum [Bowlegs],Rickets
Genu Varum [Bowlegs],Spondyloepiphyseal dysplasia congenita
Genu Varum [Bowlegs],Thanatophoric dysplasia
Genu Varum [Bowlegs],Tibial torsion
Genu Varum [Bowlegs],Turner syndrome
Short/Stubby Hand and Foot ,Aarskog syndrome
Short/Stubby Hand and Foot ,Achondrogenesis
Short/Stubby Hand and Foot ,Achondroplasia
Short/Stubby Hand and Foot ,Acrodysostosis
Short/Stubby Hand and Foot ,Acromesomelic dysplasia
Short/Stubby Hand and Foot ,Acromicric dysplasia
Short/Stubby Hand and Foot ,Aero-osteolysis
Short/Stubby Hand and Foot ,Asphyxiating thoracic dysplasia
Short/Stubby Hand and Foot ,Bardet-Biedl syndrome
Short/Stubby Hand and Foot ,Bilginturan syndrome
Short/Stubby Hand and Foot ,Borjeson-Forssman-Lehmann syndrome
Short/Stubby Hand and Foot ,Cephaloskeletal dysplasia
Short/Stubby Hand and Foot ,Chondroectodermal dysplasia
Short/Stubby Hand and Foot ,Chromosome disorders (11p)
Short/Stubby Hand and Foot ,Cockayne syndrome
Short/Stubby Hand and Foot ,Cohen syndrome
Short/Stubby Hand and Foot ,Diastrophic dysplasia
Short/Stubby Hand and Foot ,Down syndrome
Short/Stubby Hand and Foot ,Enchondromatosis (Ollier disease)
Short/Stubby Hand and Foot ,Exostosis
Short/Stubby Hand and Foot ,"Familial short stature, small hands, valvular heart disease, and a characteristic facies"
Short/Stubby Hand and Foot ,Fountain syndrome 
Short/Stubby Hand and Foot ,Fragile X syndrome
Short/Stubby Hand and Foot ,Hypochondroplasia
Short/Stubby Hand and Foot ,Hypopituitarism
Short/Stubby Hand and Foot ,Kabuki make-up syndrome
Short/Stubby Hand and Foot ,Leri syndrome
Short/Stubby Hand and Foot ,Metachondromatosis
Short/Stubby Hand and Foot ,Metaphyseal chondrodysplasias
Short/Stubby Hand and Foot ,Metatropic dysplasia
Short/Stubby Hand and Foot ,Mucolipidoses
Short/Stubby Hand and Foot ,Mucopolysaccharidoses 
Short/Stubby Hand and Foot ,Noonan syndrome
Short/Stubby Hand and Foot ,Oculo-palatal-cerebral syndrome
Short/Stubby Hand and Foot ,Orofaciodigital syndromes
Short/Stubby Hand and Foot ,Prader-Willi syndrome
Short/Stubby Hand and Foot ,Progeria
Short/Stubby Hand and Foot ,Pseudoachondroplasia
Short/Stubby Hand and Foot ,Pseudohypoparathyroidism
Short/Stubby Hand and Foot ,Ruvalcaba syndrome
Short/Stubby Hand and Foot ,Say syndrome
Short/Stubby Hand and Foot ,Smith-Lemli-Opitz syndrome
Short/Stubby Hand and Foot ,Smith-Magenis syndrome
Short/Stubby Hand and Foot ,Spondyloepimetaphyseal dysplasia
Short/Stubby Hand and Foot ,Spondylometaphyseal dysplasia
Short/Stubby Hand and Foot ,"Trichorhinophalangeal  syndrome, type I"
Short/Stubby Hand and Foot ,"Trichorhinophalangeal syndrome, type II"
Short/Stubby Hand and Foot ,Weill-Marchesani syndrome
Short/Stubby Hand and Foot ,Wiedemann syndrome
Ulnar Deviation Contracture (Claw Hand),Arthritis
Ulnar Deviation Contracture (Claw Hand),Arthrogryposis
Ulnar Deviation Contracture (Claw Hand),Burn
Ulnar Deviation Contracture (Claw Hand),"Chondrodysplasia  punctata, Conradi-Hunermann type"
Ulnar Deviation Contracture (Claw Hand),Chromosome 13 trisomy syndrome
Ulnar Deviation Contracture (Claw Hand),Chromosome 18 trisomy syndrome
Ulnar Deviation Contracture (Claw Hand),Contractural  arachnodactyly
Ulnar Deviation Contracture (Claw Hand),Diabetes
Ulnar Deviation Contracture (Claw Hand),Diastrophic dysplasia
Ulnar Deviation Contracture (Claw Hand),Digitotalar dysmorphism
Ulnar Deviation Contracture (Claw Hand),Digitotalar dysmorphism (ulnar drift)
Ulnar Deviation Contracture (Claw Hand),Distal arthrogryposis
